AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,APPLICATION,LANGUAGES,ACCESSIBILITY,HOURS,LEGAL_STATUS,DATE_UPDATED
"Canadian Mental Health Association, Toronto Branch","1200 Markham Rd, Ste 500, Toronto, ON     M1H 3C3","Woburn, 137",416-289-6285,info@cmha-toronto.net,"<a href=""http://www.toronto.cmha.ca"" target=""_blank"">www.toronto.cmha.ca</a>","Persons 16 years and older with serious mental health illness * <b>Newcomer Women's Wellness Program</b> -- women who are socially isolated, experiencing cultural and linguistic barriers, and/or at risk of mental health problems due to life circumstances * <b>Transitional Youth Program</b> -- youth 16-24 years who are diagnosed with schizophrenia or mood disorders","<b>Case Management Services</b> -- for persons with serious mental illness who require support to live and work in the community * assistance in meeting basic needs (food, shelter, finances), developing skills and accessing community resources<br>
<br>
<b>Community Treatment Order (CTO) Case Management Services, 416-289-6285 ext 282</b> -- intensive case management for persons on Community Treatment Orders with serious mental illness who require support to live and work in the community * assistance in improving life skills, meeting basic needs (food, shelter, finances), accessing community resources, and participating in work and social opportunities<br>
<br>
<b>Employment Services, 416-789-7957 ext 228</b> -- access to employment and training for people with mental health illness * comprehensive employment assistance, employment preparation, job coaching, and employment placement and support * includes consumer operated catering and cleaning business<br>
<br>
<b>Info, Intake and Referral, 416-289-6285 ext 243</b> -- telephone information on community support and treatment * referrals to appropriate programs and community agencies<br>
<br>
<b>Mental Health Court Support and Diversion Program</b> -- Metro East (Scarborough) Court 416-285-4177 * diversion of individuals with serious mental illness from the court system to mental health and community support services * court support worker assistance * consultation available for individuals who do not qualify for diversion -- referrals to mental health and support services to facilitate bail or assist with sentencing<br>
<br>
<b>NAMI Family-to-Family Education Program, 416-789-7957 ext 270</b> -- for family members and friends of people who have serious and persistent mental illness * 12 week course co-taught by trained volunteer family members * includes information about mental illnesses, coping skills for handling crisis and relapse, communication, empathy and listening skills, medications and side effects, self care, rehabilitation, community services and supports, advocacy and fighting discrimination<br>
<br>
<b>New Dimensions and East Metro Assertive Community Treatment Team (ACTT)</b> -- community treatment, rehabilitation and support services for persons with serious mental illness * services provided by multidisciplinary teams<br>
<br>
<b>Newcomer Women's Wellness Program, 416-289-6285 ext 301</b> -- some groups for immigrant or refugee women are language-specific * for Afghan, Greek, Hindi, Jamaican, Polish, Punjabi and Russian groups in Toronto call 416-289-6285 ext 303 * for Somali, Tamil and English groups in Scarborough and the Italian group in North York call 416-289-6285 ext 301 * child care available for some groups * in partnership with other organizations<br>
<br>
<b>Rehabilitation Action Program (RAP)</b> -- intensive and culturally sensitive case management for persons with serious mental illness who experience linguistic and cultural barriers to accessing services * assistance in developing skills to live and work in the community, and to access community resources * also family engagement, education on mental illness and treatment options and support<br>
<br>
<b>Transitional Youth Program (TYP)</b> -- support and assistance in regaining/maintaining age appropriate milestones and minimizing the impact of mental illness * intensive clinical support, therapeutic interventions and case management","Call 416-289-6285 ext 243 or email tmckay@cmha-toronto.net for intake * Info, Intake and Referral -- call or email","English , Interpretation service available for most languages , Rehabilitation Action Program - Dari, English, Pashto, Somali, Tamil","Designated parking at entrance , Wheelchair accessible automatic main entrance , Barrier-free washroom including door and stall",Mon-Fri 8 am-4 pm,"(50) Non Profit , (51) Registered Charity",2015-10-27T04:00:00
Scarborough Hospital,"3030 Birchmount Rd, 3rd Fl, Toronto, ON     M1W 3W3","L'Amoreaux, 117",416-495-2891,skirkup@tsh.to,"<a href=""http://TSH.to"" target=""_blank"">TSH.to</a>",Persons experiencing acute psychiatric crises,"<b>Hospital Crisis Program </b>-- crisis intervention and assessment through the hospital emergency department <br><br>

<b>Mobile Crisis Intervention Team</b> -- crisis assessment and intervention by a Registered Nurse and Police Constable in response to a 911 call",,"English , Interpretive services",Wheelchair accessible building including main entrance and barrier free washrooms * braille and tone elevator with lowered buttons * designated parking,Mon-Sun 24 hours,(50) Non Profit,2016-01-04T05:00:00
Canadian Tamil Youth Development Centre,"705 Progress Ave, Unit 40, Toronto, ON     M1H 2X1","Woburn, 137",416-431-4100,info@cantyd.org,"<a href=""http://www.cantyd.org"" target=""_blank"">www.cantyd.org</a>",Tamil youth 13-19 years,"Counselling * Youth Mentorship Program -- matching professional adults with a youth having similar interests * annual achievement awards * research * Community Watch program * Directions Magazine<br><br>

<b>Medai Konal</b> -- arts program * promotes creativity and skills development<br><br>

<b>Project Empowerment</b> -- for youth involved in the criminal justice system or in anti-social activities * one-on-one mentoring * volunteer program suitable for Community Service Orders<br><br>

<b>Project THAMIL</b> (Tamils Helping and Motivating to Inspire Leadership) -- mentoring * school outreach workshops * drop-in centres, call for time and locations * parents network * youth projects * girls program * Youth Forum workshops and guest speakers<br><br>

<b>Selvy's Circle</b> -- drop-in for young women 14-18 years * held in various high schools * annual leadership week and annual leadership conference",Call or drop in,"English , Tamil",Wheelchair accessible building including main entrance but not washrooms,Mon-Fri 9 am-6 pm,(50) Non Profit,2016-02-22T05:00:00
Centre for Addiction and Mental Health,"1001 Queen St W, Toronto, ON     M6J 1H4","Niagara, 82","Main Switchboard 416-535-8501 , Access CAMH 416-535-8501 ext 2 , Metro Addiction Assessment Referral Service (MAARS) 416-599-1448 , Information Centre (English, French) 416-595-6111 , Inpatient Services 416-535-8501 ext 30379 , Outpatient Services 416-535",,"<a href=""http://www.camh.ca"" target=""_blank"">www.camh.ca</a>",See specific programs for details,"Mental health and addiction assessment and treatment hospital * clinical and community-based programs (see branch entries for details) * education, training and research<br><br>

<b>Client/Patient Relations</b>, 416-535-8501 ext 32028 -- feedback, questions or complaints regarding CAMH programs and services<br><br>

<b>Information Centre</b>, 416-595-6111, 1-800-463-6273 (Ontario only), info@camh.ca -- general information on addiction and mental health<br><br>

<b>Library and Archive</b>, 416-535-8501 ext 36991, library@camh.ca -- addictions and mental health library * circulating collection, reference materials and archives * audio-visual and print resources * <b>Reference Service/Ask a Librarian</b> -- call 416-535-8501 ext 36988, or submit requests by mail, email or in person<br><br>

<b>Provincial System Support Program</b> -- education and support for program development, health promotion and prevention through 8 regional offices (visit website for details) * psychiatric outreach to communities in Ontario -- includes Northern Psychiatric Outreach Program (NPOP-C), 416-535-8501 ext 34484","Inpatient and most outpatient services require referral from physician, hospital or community agency * no referral required for addiction assessment and treatment * adult referral form available online * call, or visit website for information","English , French - Information Centre , Programs and services - interpretation and translation services available for French and other languages","Designated parking at entrance , Wheelchair accessible automatic main entrance , Easy access to elevator , Elevator with braille and voice/tone features , Barrier-free washroom including door and stall","Administration -- Mon-Fri 9 am-5 pm * <b>Information Centre</b> -- Mon-Fri 9 am-5 pm, voice mail after hours * <b>Library and Archive</b> -- Mon-Fri 11 am-3 pm * closed statutory holidays","(50) Non Profit , (51) Registered Charity",2015-04-10T04:00:00
Scadding Court Community Centre,"707 Dundas St W, Toronto, ON     M5T 2W6","Kensington-Chinatown, 78",416-392-0335,,"<a href=""http://www.scaddingcourt.org"" target=""_blank"">www.scaddingcourt.org</a>","Newly arrived immigrants, Convention refugees and permanent residents","Information and referral on settlement issues including social assistance, language instruction, housing, education, recreation, health, employment * form filling * liaison with social assistance offices * interpretation and translation * information and orientation workshops * income tax clinic<br><br>

Newcomer Youth Program -- for youth 13-16 years * recreational activities * leadership training * referral and counselling * leadership training * educational workshops","Call or visit, with copy of landing paper or Permanent Resident Card","English , Burmese , Chinese (Cantonese) , Chinese (Mandarin)","Wheelchair accessible automatic main entrance , Barrier-free washroom including door and stall","Mon-Fri 9 am-4 pm<br><br>

<b>Summer closing</b> -- facilities closed for 2 weeks annual maintenance and reopens the Tuesday after Labour Day * <b>Winter closing</b> -- yearly December 25 to January 1 inclusive","(50) Non Profit , (51) Registered Charity",2016-03-03T05:00:00
Catholic Children's Aid Society of Toronto,"1880 Birchmount Rd, Toronto, ON     M1P 2J7","Wexford-Maryvale, 119",416-395-1500,communications@torontoccas.org,"<a href=""http://www.torontoccas.org"" target=""_blank"">www.torontoccas.org</a>",,"Counselling for children, youth and their families * supervised access for separated families * parenting education and support",Call to report child abuse or neglect,"English , French , Italian , Portuguese , Spanish","Designated parking at entrance , Wheelchair accessible automatic main entrance , Barrier-free washroom including door and stall",,"(50) Non Profit , (51) Registered Charity",2014-06-17T04:00:00
Family Outreach and Response Program,"2333 Dundas St W, Ste 501, Toronto, ON     M6R 3A6","High Park-Swansea, 87",416-539-9449,gillian_gray@fmhr.org,"<a href=""http://www.familymentalhealthrecovery.org"" target=""_blank"">www.familymentalhealthrecovery.org</a>","Youth and adults 16 years and older, who are family or friends of people recovering from serious mental health issues",Family initiative * individual support * home visits * information and referral * support groups * educational events * community work,Call for appointment,"English , Somali , Tamil",Wheelchair accessible building including main entrance and barrier free washrooms,"Mon-Fri 9 am-5 pm * individual counselling, support groups and educational events 6:30 pm-8:30 pm","(50) Non Profit , (51) Registered Charity",2015-07-31T04:00:00
Central Toronto Community Health Centres,"168 Bathurst St, Toronto, ON     M5V 2R4","Niagara, 82",Administration 416-703-8482 * Health Services 416-703-8480,,"<a href=""http://www.ctchc.com"" target=""_blank"">www.ctchc.com</a>","Must live in catchment area * no catchment area restrictions for homeless or underhoused people, or for dental or harm reduction services","Complete medical services -- <b>Queen West Clinic</b> * no Ontario Health Insurance required for general services * well baby care and well woman care * early years and perinatal program * nutrition * health education * visits to homebound clients * dental care including dentures * diabetes education program * foot care for seniors and people with diabetes * naturopath * Aboriginal wellness program  * mental health counselling * housing supports * income tax clinic * ID clinic * youth employment supports * <b>Harm Reduction Services </b>-- education * anonymous HIV testing by appointment * needle exchange * Hepatitis C program * one-to-one counselling, referrals and advocacy Monday to Friday 1:30 pm-3:30 pm * street outreach","Call ahead if possible, or drop in to book an intake appointment","English , Chinese (Cantonese) , Chinese (Mandarin) , Portuguese , Spanish",Wheelchair accessible building including main entrance and barrier free washrooms * braille and tone elevator,"<b>Office </b>-- Mon, Wed-Fri 9 am-4 pm, Tue 1:30 pm-4 pm<br><br>

<b>Medical services</b> -- Mon, Wed-Thu 8 am-8 pm, Tue 1:30 pm-8 pm (1st Tue of each month 8 am-8 pm), Fri 8 am-5 pm * by appointment only before 9 am and after 4 pm","(50) Non Profit , (51) Registered Charity",2015-03-12T04:00:00
Yorktown Child and Family Centre,"2010 Eglinton Ave W, Ste 300, Toronto, ON     M6E 2K3","Briar Hill-Belgravia, 108",416-394-2424,info@yorktownfamilyservices.com,"<a href=""http://www.yorktownfamilyservices.com"" target=""_blank"">www.yorktownfamilyservices.com</a>",Children and youth birth-18 years and their families * does not serve individual adults * does not offer crisis services,"Single session counselling offered by family therapists and social workers to address concerns such as parent-child conflict, difficulties at school, behaviour management, peer problems, issues related to separation and divorce, psycho-social adjustment, anxiety, depression * referral to other Yorktown services (for residents of the former City of York) or to essential services in other neighbourhoods<br><br>

In partnership with East Metro Youth Services, and Etobicoke Children's Centre and Oolagen Community Services -- see separate entries",Walk in * no appointment needed * last session begins 1 hour prior to closing,"English , Interpreters available by telephone for other languages , Translation services available on request","Wheelchair accessible automatic main entrance , Easy access to elevator - side door , Elevator with lowered buttons , Wheelchair accessible washroom, assistance needed with door","Mon, Thu 2 pm-6 pm, Tue, Fri 10 am-2 pm, Wed 4 pm-8 pm * clients must arrive no later than 1 hour prior to closing to attend a counselling session",(50) Non Profit,2015-09-29T04:00:00
Scarborough Hospital,"3030 Birchmount Rd, 3rd Fl, Toronto, ON     M1W 3W3","L'Amoreaux, 117",416-495-2891,skirkup@tsh.to,"<a href=""http://TSH.to"" target=""_blank"">TSH.to</a>",Persons 16 years and older with a serious mental illness experiencing an emotional or psychiatric crisis,Telephone crisis line * community crisis response in the home or other community setting * crisis follow-up services,,"English , Interpretive services",Wheelchair accessible building including main entrance and barrier free washrooms * braille and tone elevator with lowered buttons * designated parking,Telephone service -- Mon-Sun 24 hours * Community home visits -- Mon-Fri 12 noon-8 pm,(50) Non Profit,2016-01-04T05:00:00
La Passerelle IDE,"2 Carlton St, West Mezzanine, Toronto, ON     M5B 1J3","Church-Yonge Corridor, 75",416-934-0588,info@passerelle-ide.com,"<a href=""http://www.passerelle-ide.com"" target=""_blank"">www.passerelle-ide.com</a>","Ages: 18 year(s) - 35 year(s)

Francophone youth and young adults from all cultural origins","<b>Employment program</b> -- luncheon meetings about employability * counselling and mentoring * information and referral <br> <br>
 
<b>Business and Business Plus programs</b> -- entrepreneurship, business acumen and economic development * networking evenings <br><br>

<b>Cultural skills program</b> -- cultural skills training for francophone newcomers and francophone employers * supports for academic success for youth 15-25 years old <br><br>

Information for youth on French-language health services * culturally sensitive workshops on HIV/AIDS prevention * IKUEN community kitchen for young francophone immigrant women","Call, drop in or visit the website",French,"Designated parking at entrance - garage entrance from Wood St , Wheelchair accessible automatic main entrance , Elevator with braille and voice/tone features , Barrier-free washroom including door and stall",Mon-Fri 9 am-5 pm,(50) Non Profit,2015-11-20T05:00:00
Hincks-Dellcrest Centre,"440 Jarvis St, Toronto, ON     M4Y 2H4","Church-Yonge Corridor, 75",416-924-1164,info@hincksdellcrest.org,"<a href=""http://www.hincksdellcrest.org"" target=""_blank"">www.hincksdellcrest.org</a>","Emotionally troubled children and youth birth-17 years, and their families","Outpatient services * assessment * family, group and individual therapy * consultation to families and other service providers<br> <br> 

<b>Residential treatment</b> -- city and rural program (near Collingwood) for youth 12-18 years, including family support services * some <b>day treatment</b> * transitional program to assist reintegration into community schools * aftercare * community based family support programs",Contact Intake Worker,English,"Wheelchair accessible automatic main entrance , Easy access to elevator , Washrooms not accessible , Street parking","Mon-Thu 8 am-8 pm, Fri 8 am-5 pm * after hours -- answering service for registered clients","(50) Non Profit , (51) Registered Charity",2015-02-05T05:00:00
Griffin Centre,"1124 Finch Ave W, Unit 1, Toronto, ON     M3J 2E2","York University Heights, 27",416-222-3563,contact@griffincentre.org,"<a href=""http://www.griffincentre.org"" target=""_blank"">www.griffincentre.org</a>",Adults 16 years and older with a developmental disability or a dual diagnosis (developmental disability and serious mental health needs) * must not be in acute psychiatric or medical crisis,"Short term, crisis and transitional supports and service planning * residential safe beds in high support settings, maximum 30 day stay * centralized telephone access for immediate consultation with network staff * on-site consultation and support from in-home, day program, and residential service network staff * time limited staffing support in social service settings<br>
<br>
In partnership with Gerstein Crisis Centre, Reconnect Mental Health Services, Surrey Place Centre and Aptus Treatment Centre (formerly MukiBaum Treatment Centres) -- see separate entries",,"English , Interpretation arranged for other languages","Wheelchair accessible automatic main entrance , Barrier-free washroom including door and stall , Designated parking close to entrance","Mon-Sun 9 am-9 pm * after hours, call Gerstein Crisis Centre, Crisis Line 416-929-5200 -- see separate entry","(50) Non Profit , (51) Registered Charity",2015-06-29T04:00:00
Hincks-Dellcrest Centre,"114 Maitland St, Toronto, ON     M4Y 2H4","Church-Yonge Corridor, 75","416-924-1164 ext 8707 , Workshops and seminars 416-924-1164 ext 3345",training@hincksdellcrest.org,"<a href=""http://www.hincksdellcrest.org"" target=""_blank"">www.hincksdellcrest.org</a>","Students and professionals in the fields of psychiatry, psychology and social work * parents and caregivers","Post-qualification (fellowship) training and research opportunities for graduates from psychiatry, psychology and social work * training seminars, workshops and consultation in the field of children's mental health * parenting webinars and seminars * training catalogue available online<br><br> 

<b>Brief Therapy Training Centres International</b> -- resource for training in brief and family therapy","Call, email or visit website for information",English,"Wheelchair accessible automatic main entrance , Easy access to elevator , Barrier-free washroom including door and stall , Street parking",,"(50) Non Profit , (51) Registered Charity",2015-03-20T04:00:00
YMCA of Greater Toronto,"2200 Yonge St, Ste 300, Toronto, ON     M4S 2C6","Yonge-Eglinton, 100",416-928-3362 ext 22555,adela.colhon@ymcagta.org,"<a href=""http://www.ymcagta.org/gambling"" target=""_blank"">www.ymcagta.org/gambling</a>",Agencies working with children and youth 8-24 years,"Awareness education and prevention around gambling issues * developmentally appropriate presentations for 4 age groups (8-10 years, 11-14 years, 15-18 years, 19-24 years) * workshops for parents, guardians, role models and professionals involved in youth's lives, delivered at requesting party's location",,"English , French",Wheelchair accessible main office - assistance required,Mon-Fri 9 am-5 pm * flexible hours for presentations,"(50) Non Profit , (51) Registered Charity",2016-02-23T05:00:00
Centre for Addiction and Mental Health,"Intergenerational Wellness Centre, 80 Workman Way, Toronto, ON     M6J 1H4","Niagara, 82","Geriatric Central Intake and Referral 416-535-8501 ext 2875 , PACE Central/East and PACE West 416-535-8501 ext 3448",,"<a href=""http://www.camh.ca"" target=""_blank"">www.camh.ca</a>",Adults 65 years and older with mental health and addiction problems * adults 60-64 years may be considered * may vary by program -- call for details or visit website,"Assessment, treatment, consultation, and community follow-up * inpatient and outpatient services * Geriatric Telemedicine Clinic * research and education * some programs and services at 33 Russell St, call for details<br>
<br>
<b>Memory Clinic</b> -- assessment for adults 50 year and older<br>
<br>
<b>Psychogeriatric Assessment Consultation Education (PACE) Clinics</b> -- assessment and psychogeriatric consultation in client's environment * clinic services for registered clients -- counselling, support, medication monitoring and home visits * crisis services during clinic hours only * advocacy, education and family support * includes <b>Late-Life Mood Disorder Clinic</b> * <b>PACE Central/East</b> --- 33 Russell St, 2nd Fl, Rm 2043-1 * <b>PACE West</b> -- 3197 Lake Shore Blvd W, Rm G45<br>
<br>
<b>Rapid Assessment Clinic (RAC)</b> -- non-emergency psychiatric assessment<br>
<br>
<b>Cognitive Behavioural and Social Skills Training (CBSST)</b> -- group therapy for seniors with schizophrenia or related disorder<br>
<br>
<b>Late-Life Schizophrenia Clinic (LLS)</b> -- consultation and treatment for seniors with diagnosis of schizophrenia or related disorder",Physician referral preferred but not required for most programs -- contact Geriatric Central Intake and Referral * Adult Referral Form available on website,"English , Access to trained interpreters available for French and other languages","Wheelchair accessible automatic main entrance , Barrier-free washroom including door and stall",Mon-Fri 9 am-5 pm,"(50) Non Profit , (51) Registered Charity",2013-02-07T05:00:00
Centre for Addiction and Mental Health,"Intergenerational Wellness Centre, 80 Workman Way, Toronto, ON     M6J 1H4","Niagara, 82",416-535-8501 ext 4366,,"<a href=""http://www.camh.ca"" target=""_blank"">www.camh.ca</a>","Most programs -- children and youth up to 17 years, with emotional, behavioural, psychological or psychiatric problems, and their families * specific eligibility for some programs -- call for details","Assessments, treatment and referrals * treatment recommendations and consultation, including services for those involved with Youth Criminal Justice Act * outreach, prevention and education<br>
<br>
<b>Better Behaviours Service (BBS)</b> -- assessment and treatment for children with behaviour problems, including aggression, social skills difficulties, diminished academic performance and non-compliance * must not have developmental delay, serious medical illness or psychotic disorder * parent programs * individual, group and day treatment programs -- call for eligibility and referral details<br>
<br>
<b>Mood and Anxiety Disorders Service</b> -- assessment, treatment recommendations and short-term treatment * referral required<br>
<br> 
<b>Psychotic Disorders</b> -- assessment and consultation for children and youth with a referral diagnosis of a psychotic disorder or symptoms of psychosis * referral required<br>
<br>
<b>Substance Abuse Program for African Canadian and Caribbean Youth (SAPACCY)</b> -- early intervention and prevention services for Black youth, including individual and group counselling and family support * no referral required<br>
<br>
<b>Toronto Arson Prevention Program for Children (TAPP-C), www.tapp-c.com</b> -- assessment and intervention for children and youth to reduce intentional fire setting or match/lighter play * programs for parents/caregivers * referral required<br>
<br>
<b>Youth Addiction and Concurrent Disorders Service</b> -- assessment and treatment for youth and young adults with substance use challenges, with or without concurrent mental health concerns, and their families * harm reduction and individualized approach * individual and group counselling * case management","Referral required for most programs -- call for details * Child, Youth and Family Referral Form available online * Gender Identity Services not accepting new referrals as current clinic is closing","English , Access to trained interpreters available for French and other languages","Wheelchair accessible automatic main entrance , Barrier-free washroom including door and stall",Mon-Fri 9 am-5 pm * individual program hours may vary,"(50) Non Profit , (51) Registered Charity",2013-02-06T05:00:00
"Vasantham, A Tamil Seniors Wellness Centre","Easttown Centre Plaza, 2660 Eglinton Ave E, Toronto, ON     M1K 2S3","Eglinton East, 138",416-847-4172,vasantham@sherbourne.on.ca,"<a href=""http://"" target=""_blank""></a>",Tamil speakers of all ages,"Health and mental health information, education and referral * elder abuse, domestic violence and addiction counselling * crisis intervention and trauma counselling * concurrent disorders group for people with mental health and addictions issues * gambling counselling * family support group * intergenerational recreation group * seniors social group * individual advocacy * leadership training * community development and capacity building * group activities * yoga * youth workshops<br><br>

Services also at satellite location -- Sherbourne Health Centre, 333 Sherbourne St, 2nd Fl, 416-324-4185",Drop in or call,"English , Tamil","Designated parking at entrance , Wheelchair accessible automatic main entrance , Elevator with braille and voice/tone features , Dedicated accessible washroom with all features",Mon-Fri 9 am-5 pm,(50) Non Profit,2015-02-12T05:00:00
Youth Unlimited,"57 Mobile Dr, Toronto, ON     M4A 1H5","Victoria Village, 43",416-383-1477,yu@youthunlimitedgta.com,"<a href=""http://www.youthunlimitedgta.ca"" target=""_blank"">www.youthunlimitedgta.ca</a>",At risk youth 10-21 years,"Christian perspective, non-denominational * counselling * neighbourhood, school and street outreach * young mother's group * case management * life skills * job search skills * programs held at various locations * volunteer opportunities",Call office,English,Wheelchair accessible - call for details,Mon-Fri 9 am-5 pm,(50) Non Profit,2015-01-19T05:00:00
WoodGreen Community Services - WoodGreen Community Services - Community Care Unit,"250 Dundas St W, Ste 305, Toronto, ON     M4J 1L2","Kensington-Chinatown, 78",416-640-1459,ccwscentralintake@woodgreen.org,"<a href=""http://www.woodgreen.org"" target=""_blank"">www.woodgreen.org</a>",Adults 55 years and older,"Over the phone emotional support and short-term crisis management * risk and safety assessments * assistance with age-related cognitive, mental health and addiction crises * linkage to community mobile crisis outreach team as needed * information and referral to local services and supports",Call,English,Not Applicable,Mon-Fri 10am-8pm * Sat-Sun 10am-6pm,(50) Non Profit,2015-10-28T04:00:00
